,root,d+,d-
GO:1905132,10,3,3
GO:0002843,10,3,1
GO:0045222,7,1,2
GO:1905710,4,1,2
GO:0050775,14,5,1
GO:0070178,8,1,2
GO:0044319,9,2,1
GO:0048160,8,1,0
GO:1990959,5,2,0
GO:0043173,9,2,4
GO:1903121,9,2,2
GO:1903972,7,3,2
GO:0045995,5,2,8
GO:0071693,7,2,0
GO:0045428,6,3,2
GO:0071696,3,1,3
GO:0070727,3,2,3
GO:0007500,11,2,0
GO:0051882,5,2,3
GO:0072207,8,2,2
GO:0060563,7,1,4
GO:0050672,8,4,2
GO:0071724,9,1,2
GO:0097065,4,1,2
GO:0007344,7,2,0
GO:0060436,8,2,0
GO:1903431,7,3,2
GO:0003186,10,2,1
GO:0001892,8,3,5
GO:0065007,1,1,5
GO:0010665,8,2,2
GO:2000690,10,3,1
GO:2001262,8,3,1
GO:0035344,7,1,0
GO:0051481,3,1,1
GO:0051102,8,2,0
GO:1904711,7,2,1
GO:0006639,6,2,6
GO:0071985,5,1,1
GO:1904791,9,3,0
GO:0001836,7,2,3
GO:0008654,6,3,14
GO:1901908,9,1,1
GO:0042743,4,1,6
GO:0038009,8,2,0
GO:2000253,6,3,1
GO:0006667,8,2,1
GO:0051771,8,3,0
GO:0043517,9,3,1
GO:0086067,9,1,3
GO:0043501,6,1,4
GO:1902850,7,2,2
GO:0034332,6,1,6
GO:0035963,6,2,1
GO:0045141,11,3,1
GO:1901798,8,3,2
GO:0051960,6,2,5
GO:0034244,12,3,0
GO:0060935,8,1,2
GO:0070278,6,2,4
GO:0070407,8,1,0
GO:0051145,5,1,7
GO:0033563,14,1,0
GO:1900262,10,3,1
GO:0050655,7,1,2
GO:0006843,10,2,0
GO:0048247,7,2,7
GO:0021648,9,2,2
GO:0036072,3,1,1
GO:0098763,3,1,1
GO:0042771,8,2,3
GO:0048149,6,2,0
GO:1902396,7,1,0
GO:0032613,7,1,3
GO:0043387,6,2,1
GO:0071640,10,2,2
GO:0016124,10,2,2
GO:0051956,8,3,5
GO:0060856,7,2,4
GO:2000609,7,4,1
GO:0032204,8,3,9
GO:0060050,9,4,1
GO:1902414,5,1,2
GO:0007029,5,2,6
GO:0045671,10,3,1
GO:0072706,4,2,1
GO:0016116,8,1,4
GO:0002192,11,1,0
GO:0031340,9,4,2
GO:1903464,13,4,0
GO:1904268,12,4,0
GO:0030538,9,2,0
GO:0010970,6,3,4
GO:0033554,3,2,26
GO:0060044,11,4,0
GO:1900242,9,3,1
GO:0043374,11,2,6
GO:0072719,4,2,0
GO:0003185,9,2,0
GO:0033280,7,4,1
GO:0070473,9,3,0
GO:0018963,6,2,0
GO:0006779,6,2,4
GO:0000183,12,2,2
GO:0042921,10,1,3
GO:0032650,10,2,2
GO:0001829,10,2,2
GO:0032788,6,1,0
GO:1903980,9,4,0
GO:1905828,9,2,0
GO:0010956,10,5,0
