,root,d+,d-
GO:0010266,5,4,1
GO:0044873,5,2,0
GO:0035782,6,1,0
GO:0061172,5,2,0
GO:0007091,5,2,3
GO:0035697,5,1,3
GO:1902003,4,3,2
GO:0070875,4,5,2
GO:0050804,4,2,20
GO:0048285,5,1,4
GO:0090289,5,2,2
GO:0006599,4,3,2
GO:1905045,6,3,0
GO:0071732,5,4,0
GO:0070731,6,4,0
GO:0001980,5,1,0
GO:0070296,8,1,2
GO:0140361,4,6,0
GO:0150201,3,5,1
GO:0015783,5,1,1
GO:1902283,6,1,1
GO:0048264,5,2,0
GO:0016237,4,1,2
GO:0097298,5,1,0
GO:0009890,3,3,9
GO:0043154,5,3,3
GO:1901976,5,3,4
GO:0042819,6,3,2
GO:0060038,4,2,3
GO:0021764,3,2,0
GO:0048923,7,2,1
GO:0070302,4,3,3
GO:0002710,6,4,4
GO:0070179,7,2,0
GO:0017143,4,3,0
GO:0001701,6,1,2
GO:0044058,4,2,11
GO:0018108,6,2,6
GO:0071412,7,2,0
GO:1903942,3,3,0
GO:0010747,4,4,0
GO:0048261,4,3,4
GO:0036446,4,1,3
GO:1901659,5,2,2
GO:0032891,3,3,7
GO:2000177,4,2,6
GO:0120126,4,1,1
GO:0050680,4,3,10
GO:0007499,4,2,0
GO:0030033,7,2,3
GO:0018095,7,1,0
GO:0150172,5,2,4
GO:0042113,4,1,6
GO:1990390,10,1,0
GO:0040010,3,2,0
GO:0120229,7,1,0
GO:0035499,4,5,0
GO:0048686,4,4,3
GO:0071881,5,2,0
GO:1904743,6,2,1
GO:0046006,7,2,2
GO:0042276,8,1,2
GO:0046588,5,3,0
GO:2000502,6,3,0
GO:2000848,4,3,2
GO:0061381,4,2,0
GO:1902369,4,3,5
GO:1990049,6,3,2
GO:0035654,5,1,0
GO:0045346,5,2,2
GO:0060788,3,2,5
GO:1990550,4,3,0
GO:1904672,4,2,3
GO:0006691,7,1,5
GO:0002325,6,2,2
GO:0003253,5,3,2
GO:0021828,5,3,0
GO:1902616,3,2,0
GO:0060336,5,4,0
GO:0001984,7,2,0
GO:0048377,5,2,1
GO:0120012,5,2,0
GO:0071418,5,2,0
GO:0036255,6,1,0
GO:0120322,5,1,1
GO:0160075,6,1,0
GO:0009181,8,3,3
GO:0006857,5,2,5
GO:0038026,4,1,0
GO:0098914,7,3,2
GO:0042092,3,1,5
GO:1902525,9,2,1
GO:0098970,4,3,1
GO:0036465,4,3,5
GO:0071580,6,3,2
GO:1904140,6,4,0
GO:1905913,5,3,0
GO:1903545,6,2,0
GO:0001906,2,1,6
GO:0071831,4,1,0
GO:0072350,6,1,3
GO:0006705,3,3,1
GO:0033275,5,1,1
GO:1902340,6,3,1
GO:1903567,6,4,2
GO:0033629,4,3,1
GO:1904378,5,2,0
GO:0070446,5,4,0
GO:1903428,4,4,1
GO:0003408,3,2,0
GO:0021983,4,3,3
GO:0060644,5,2,1
GO:0032438,4,1,2
GO:0110051,3,1,0
GO:0033002,3,1,2
GO:0060854,4,2,0
GO:0070982,3,2,1
GO:1905365,5,2,1
GO:2000408,5,4,0
GO:0060541,4,1,6
GO:0051496,5,3,0
GO:0046712,7,3,0
GO:0002290,6,2,2
GO:0033133,6,2,0
GO:0045981,4,5,3
GO:0070413,4,2,0
GO:0060711,3,2,4
GO:1903423,3,3,1
GO:0062026,6,3,0
GO:0010932,4,2,1
GO:0048698,5,3,0
GO:1901565,4,2,33
GO:0060731,4,3,0
GO:0045046,5,4,0
GO:1990575,4,2,0
GO:0009894,3,2,18
GO:0009850,3,2,1
GO:0070091,7,1,3
GO:0007400,4,2,0
GO:0001809,7,4,0
GO:0042412,5,3,0
GO:0006020,5,1,2
GO:1904057,4,3,0
GO:0034125,4,3,0
GO:0035811,5,1,1
GO:1905221,4,4,0
GO:0044346,5,1,3
GO:1903843,5,3,0
GO:0002924,5,4,1
GO:2000321,5,4,1
GO:0050732,7,3,4
GO:0150128,4,3,0
GO:0035582,5,3,0
GO:0032699,4,3,0
GO:0043385,4,1,2
GO:0045742,5,3,0
GO:0006105,7,1,1
GO:1903882,5,3,0
GO:0033030,4,4,0
GO:0070900,7,4,3
GO:1904618,6,2,1
GO:0009158,7,2,2
GO:0071035,8,1,0
GO:0051128,3,2,33
GO:1905447,6,3,1
GO:1903054,4,3,4
GO:0110021,4,1,3
GO:1904347,7,2,1
GO:2000707,4,3,0
GO:0061626,5,2,0
GO:0097009,3,1,1
GO:0018242,6,2,0
GO:1902166,6,4,0
GO:1902270,4,2,0
GO:0072268,4,2,2
GO:0051056,5,2,9
GO:0006664,5,2,5
GO:0001658,5,2,5
GO:0036302,3,2,1
GO:0035234,3,2,0
GO:1905402,8,2,2
GO:0015914,5,2,8
GO:0032377,5,3,3
GO:1902034,4,4,0
GO:0072708,5,1,1
GO:0070650,6,1,1
GO:0021987,3,2,3
GO:1903297,6,2,1
GO:1902310,7,3,0
GO:0051940,5,3,3
GO:0072304,5,4,1
GO:0002264,4,2,0
GO:2000597,3,3,0
GO:0038116,5,1,0
GO:0006558,5,2,1
GO:0007296,5,2,0
GO:0006790,3,1,28
GO:2000466,6,2,0
GO:0046822,5,2,6
GO:1904958,5,3,0
GO:0051048,3,3,11
GO:2000231,5,3,0
GO:0071684,2,1,1
GO:0000132,5,2,0
GO:0010902,3,4,0
GO:2001295,5,2,0
GO:0035351,6,2,0
GO:0046707,7,2,1
GO:0006167,8,3,2
GO:0035037,4,2,0
GO:0006586,5,2,2
GO:0016131,3,2,1
GO:0010706,6,1,0
GO:1904034,5,3,0
GO:0060402,4,2,3
GO:0052652,6,2,2
GO:0001546,3,4,0
GO:0033015,5,3,1
GO:0090685,4,1,1
GO:0008088,5,1,4
GO:0019692,4,3,3
GO:1904502,6,2,1
GO:0080184,5,1,2
GO:0003430,4,3,0
GO:0098751,4,2,1
GO:0060484,5,2,0
GO:0002362,6,2,0
GO:0002877,6,2,1
GO:0046275,4,2,1
GO:0070307,5,2,1
GO:1903884,5,2,1
GO:0016139,6,2,2
GO:0031076,5,2,1
GO:0007131,5,2,9
GO:1904457,3,4,0
GO:0042044,4,1,2
GO:1904734,4,2,1
GO:0007259,5,1,4
GO:0032978,6,1,1
GO:0015793,4,2,0
GO:1902809,5,3,2
GO:0018209,6,1,4
GO:1901740,4,3,0
GO:0071257,4,2,0
GO:1901907,8,2,0
GO:1903367,3,4,1
GO:0019229,5,3,4
GO:1905366,3,4,0
GO:0045664,4,2,11
GO:0009812,3,1,3
GO:1903016,6,2,0
GO:1900234,5,2,1
GO:2000392,5,3,2
GO:0001821,5,2,1
GO:0043418,6,4,0
GO:0061789,3,3,0
GO:0051611,6,2,1
GO:0034164,4,3,0
GO:0001572,5,3,0
GO:0016260,7,2,0
GO:0034284,5,1,5
GO:2000419,5,3,1
GO:0010732,6,2,1
GO:0008089,7,1,4
GO:0060461,5,2,0
GO:1905143,6,1,0
GO:0001946,3,3,4
GO:0003332,4,4,0
GO:0000768,3,2,6
GO:0098877,4,4,2
GO:0016598,5,2,0
GO:0021523,5,1,1
GO:2000180,5,3,0
GO:2000233,4,5,0
GO:0060157,4,2,0
GO:0009060,6,1,4
GO:0015990,7,1,0
GO:0002523,3,2,1
GO:0010182,4,1,1
GO:0036333,4,1,0
GO:0048621,4,2,0
GO:0021831,5,3,0
GO:0042401,6,2,5
GO:1904382,6,3,0
GO:2001033,5,3,0
GO:0035229,6,2,0
GO:1902897,6,3,0
GO:0003139,6,1,0
GO:0001923,7,1,2
GO:0007349,3,2,1
GO:0031145,7,1,2
GO:0010727,5,3,2
GO:1905322,5,3,0
GO:0001796,7,2,3
GO:0021571,4,1,1
GO:1900115,4,1,1
GO:0098963,4,1,1
GO:0140706,3,1,0
GO:2000758,7,3,1
GO:0061956,3,2,0
GO:0045344,5,3,0
GO:0072055,3,2,1
GO:0021932,5,1,4
GO:2001250,5,4,0
GO:1901076,6,4,0
GO:0010999,4,4,0
GO:0009200,6,1,3
GO:0046165,4,3,9
GO:0043516,4,3,3
GO:0061762,4,2,2
GO:0042727,5,3,3
GO:1904054,5,2,2
GO:0006721,5,1,10
GO:0014810,5,2,0
GO:0046327,7,3,0
GO:0010924,6,1,1
GO:0075506,5,1,0
GO:0036093,3,2,4
GO:0141067,4,1,1
GO:0002367,3,3,8
GO:0060100,5,4,1
GO:0003183,5,2,1
GO:0097688,7,1,2
GO:0061099,8,3,2
GO:0009744,6,1,1
GO:0072537,3,1,1
GO:1901292,5,3,5
GO:0019243,6,1,0
GO:0045112,5,2,3
GO:0140743,7,2,1
GO:0048771,2,1,7
GO:0002870,4,2,2
GO:0060433,5,2,3
GO:0033026,3,5,0
GO:0045070,3,3,1
GO:0048193,3,1,12
GO:0032986,6,2,1
GO:0032632,3,1,3
GO:0060734,5,4,0
GO:0140744,7,3,0
GO:0035435,5,2,3
GO:0000320,3,1,0
GO:0016198,4,2,1
GO:0044313,9,1,0
GO:0033083,7,2,3
GO:0032392,7,1,3
GO:2001268,5,3,0
GO:0034184,5,3,1
GO:0150178,5,2,0
GO:0098905,4,2,0
GO:0003062,4,1,2
GO:0043367,7,2,6
GO:1902807,5,3,1
GO:0050906,3,2,5
GO:0016482,4,1,5
GO:0055022,4,3,2
GO:0002474,4,1,5
GO:0048539,4,3,0
GO:2000257,6,2,0
GO:0110077,3,2,0
GO:0042364,5,2,4
GO:0032342,4,7,3
GO:0060964,8,2,2
GO:0006665,4,2,8
GO:0060853,5,2,0
GO:0045058,2,2,5
GO:0002070,4,2,2
GO:1902315,5,2,1
GO:0098974,4,2,0
GO:1902532,4,3,18
GO:0042147,4,2,6
GO:0045682,3,2,3
GO:0045661,4,2,3
GO:0045471,5,1,2
GO:0050686,6,3,2
GO:2001190,4,5,0
GO:0009949,4,2,0
